DENOMINAZI,Type,geometry
ADRIAGEL ITALIA S.R.L.,Pasta&baked goods,POINT (785221.307 5050137.168)
Alla Vaccheria,Dairy,POINT (743822.039 5025639.743)
Apicoltura Api Piave,Fruits & Vegetables,POINT (784714.089 5062146.177)
Apicoltura G di ape,Fruits & Vegetables,POINT (744487.893 5030895.522)
APICOLTURA Miele e Pappa,Fruits & Vegetables,POINT (749757.439 5034191.694)
Apicoltura Montagner,Fruits & Vegetables,POINT (777918.377 5054787.241)
Az. Agr. Corradi,Fruits & Vegetables,POINT (756424.515 5051074.147)
Az.Agr. Vignaluna Di Lunardelli Giovanni,Winery,POINT (774896.152 5057993.511)
Azienda agricola Basso,Fruits & Vegetables,POINT (755741.97 5045390.061)
Azienda Agricola Biodinamica San Michele,Dairy,POINT (789257.904 5049422.528)
Azienda Agricola Castellana,Fruits & Vegetables,POINT (787226.059 5053246.579)
Azienda Agricola Gianni Dartora,Fruits & Vegetables,POINT (786289.374 5046981.026)
Azienda Agricola Mendoza,Winery,POINT (781231.525 5062548.539)
Azienda Agricola Orlando Claudio,Dairy,POINT (785528.215 5061621.464)
Azienda Agricola Tonus,Fruits & Vegetables,POINT (778146.251 5056864.278)
Azienda Agricola Valleri Stefano,Fruits & Vegetables,POINT (773095.368 5040347.401)
Azienda Agricola Vitivinicola Gallo Nicola,Winery,POINT (771406.968 5055133.802)
Blumen (S.A.S.) Di Signoretto Roberto E C,Dairy,POINT (756784.72 5048013.919)
Bonazza S.P.A.,Meat,POINT (761998.658 5045949.644)
Bugin Carni srl,Meat,POINT (740655.858 5032194.704)
C.O.F. Costantini Orto Frutta,Fruits & Vegetables,POINT (770259.755 5039188.64)
CAM-EVOLUTION SOCIETA' A RESPONSABILITA' LIMITATA,Seafood,POINT (757002.238 5012590.753)
Canella spa - Casa Vinicola,Winery,POINT (777349.736 5059427.836)
Cantina Di San Dona,Winery,POINT (779942.158 5060205.759)
Cantina Enoteca La Riviera Di Zillio Roberto,Winery,POINT (747363.366 5037481.026)
Cantina Levorato,Winery,POINT (741025.195 5034605.561)
Cantine Produttori Riuniti Del Veneto Orientale,Winery,POINT (784742.832 5050338.647)
Cantine Viticoltori,Winery,POINT (784864.527 5049972.787)
Cantine Viticoltori Veneto Orientale Societa' Agricola Cooperativa In,Winery,POINT (770559.813 5039205.504)
CASA VINICOLA CANELLA S.P.A.,Brewery,POINT (775857.846 5060189.044)
Cioccolateria Veneziana,Pasta&baked goods,POINT (779162.35 5055737.305)
Cooperativa Agricola Produttori Ortofrutticoli Srl,Winery,POINT (757438.079 5008621.684)
Cooperativa Agricola Saccagna S.C.A.R,Winery,POINT (771573.126 5039724.197)
Corti Veneziane - beer,Brewery,POINT (739784.142 5036591.948)
DA. GI. MAR. S.R.L.,Seafood,POINT (757776.039 5012561.414)
DESPA.MAR. S.R.L.,Seafood,POINT (757383.504 5007588.98)
Erma S.r.l.,Seafood,POINT (746199.745 5033432.136)
Il Giogo Farm,Dairy,POINT (782417.553 5049290.5)
"Iperdrink, Birroteca and wine",Winery,POINT (747290.708 5038830.168)
LA DOLCIARIA MESTRINA DAL 1973 S.R.L.,Pasta&baked goods,POINT (753087.168 5042347.126)
Latteria Di Soligo -Caposile,Dairy,POINT (777444.174 5053281.834)
LESCACHEPESCA S.R.L.,Seafood,POINT (749604.234 5042809.56)
L'INSALATA DELL'ORTO S.R.L.,Fruits & Vegetables,POINT (746697.147 5031665.955)
Macedonia dell'Orto,Fruits & Vegetables,POINT (782600.064 5044940.023)
Microbirrificio Blond Brothers,Brewery,POINT (780277.594 5058456.637)
Miele del Doge,Fruits & Vegetables,POINT (770361.128 5040818.576)
Miele di Sant'Erasmo di Mavaracchio Elio,Fruits & Vegetables,POINT (766405.516 5038795.463)
Miglio Rosso,Winery,POINT (785951.361 5052389.362)
nido d'ape,Fruits & Vegetables,POINT (743371.028 5033712.235)
NUOVA FLORIDA 2 S.R.L.,Pasta&baked goods,POINT (782982.553 5045534.42)
Olearia Adriatica,Fruits & Vegetables,POINT (780500.316 5059117.862)
Ortobombo,Fruits & Vegetables,POINT (761714.103 5039616.978)
PANIFICIO MOLIN ZAN S. S.R.L.,Pasta&baked goods,POINT (752858.71 5042194.99)
Persico Vini,Winery,POINT (775426.404 5058102.152)
Poderi Ducali Ruffino,Winery,POINT (780018.141 5063994.876)
Margherita S.p.A. - Stabilimento M4,Pasta&baked goods,POINT (777619.695 5064102.009)
Sutto Wine,Winery,POINT (779575.385 5050948.427)
The Wine Selector Sabbadin Brothers SRL,Winery,POINT (748356.725 5037521.438)
UNIONFRIGO S.R.L.,Seafood,POINT (757593.816 5009803.716)
Vi.V.O. Cantine - Società agricola cooperativa - Punto vendita di Chioggia,Winery,POINT (757376.411 5010841.753)
Az. Agricola Vigne Salse,Winery,POINT (780674.25 5050117.981)
Vini Molon Luigino - Venezia,Winery,POINT (778407.905 5066672.847)
Agriconf s.r.l.,Fruits & Vegetables,POINT (728382.09 5040988.38)
Alfi S.r.l.,Fruits & Vegetables,POINT (729276.589 5030595.713)
AIA - Agricola Italiana Alimentare,Meat,POINT (684043.383 5057108.162)
Azienda Agricola Cà Ma Piò,Winery,POINT (726630.091 5043655.428)
Azienda Agricola Pastrello Livio,Fruits & Vegetables,POINT (719928.162 5049937.274)
Azienda agricola Zabeo,Fruits & Vegetables,POINT (717027.671 5046469.57)
Azienda Agricola Due Pioppi - Spaccio dalla Monica,Meat,POINT (736064.614 5041500.024)
Azienda Agricola Celadin Stefano,Fruits & Vegetables,POINT (674787.025 5034279.794)
Azienda Agricola Le Centurie,Winery,POINT (732575.166 5044548.321)
Azienda Agricola Nascimben,Fruits & Vegetables,POINT (712204.677 5057823.849)
Azienda Viticola Picchetto Verde,Winery,POINT (725364.345 5056325.662)
Azienda agricola Visentin Ivano e Claudio,Fruits & Vegetables,POINT (702130.3 5057317.973)
Az.Agr. Sartorato Giuseppina,Fruits & Vegetables,POINT (733633.561 5010644.53)
BAV - Birrificio Artigianale Veneziano,Brewery,POINT (712903.043 5045920.493)
Birrificio Biofevari di Francesco Stefani,Brewery,POINT (722973.055 5031428.54)
Buona Compagnia Gourmet,Pasta&baked goods,POINT (726893.051 5056590.945)
Borella & C. Srl,pasta,POINT (733225.217 5033366.892)
Bugin S.r.l.,Meat,POINT (715448.61 5045489.44)
Barollo winery,Winery,POINT (743792.347 5052942.785)
Centro Carni Company Spa,Meat,POINT (695106.39 5057795.903)
Crivalcarni Srl,Meat,POINT (657053.044 5059516.545)
Cantina del Terraglio,Winery,POINT (743792.347 5052942.785)
Caseificio Callegaro - società agricola Rino,Dairy,POINT (693929.566 5048244.648)
Cantina Viticoltore Ponte - Enoteca di Caposile,Winery,POINT (743291.869 5052065.619)
Dalco Srl,Fruits & Vegetables,POINT (741374.31 5042554.758)
Europe Meat,Meat,POINT (693567.63 5053738.602)
Food Service Società Cooperativa Agricola,Fruits & Vegetables,POINT (676179.471 5029718.721)
Fattoria LaudatoSi,Dairy,POINT (715386.371 5024554.608)
Green Fruit S.R.L.,Fruits & Vegetables,POINT (713010.816 5047215.97)
Grandi Molini Italiani SpA,Pasta&baked goods,POINT (745229.689 5040508.326)
Gruppo Tonazzo Srl,Fruits & Vegetables,POINT (697637.1 5040615.924)
Il Caseificio di Roncade,Dairy,POINT (715711.519 5056230.295)
Miacarni srl,Meat,POINT (678583.776 5038065.763)
OrtoRomi Società Cooperativa Agricola,Fruits & Vegetables,POINT (679510.774 5053233.755)
Oro dell'Orto – Lavorazione Verdure Legumi e Cereali,Fruits & Vegetables,POINT (730845.291 5056909.772)
Padua,Meat,POINT (695106.39 5057795.903)
Re Carciofo S.R.L.,Fruits & Vegetables,POINT (741038.837 5042645.402)
Ro.mar.srl Stabilimento 2 Tramezzino,Pasta&baked goods,POINT (731428.377 5046843.247)
Società Agricola Peassi??Peassi,Fruits & Vegetables,POINT (702718.359 5023846.005)
Societa Agricola Bio Oni s.s.,Fruits & Vegetables,POINT (604948.978 5019431.452)
Santi F.lli Srl Lavorazione Carni Suine,Meat,POINT (676552.367 5058623.802)
Società Agricola LA SALUMERIA GUZZO S.S.,Meat,POINT (703889.795 5037609.961)
Macello Garzaro S.N.C.,Meat,POINT (687370.723 5047388.848)
Villa Elena Srl,Winery,POINT (731465.507 5044133.405)
Vini Marocchesa,Winery,POINT (723645.605 5053835.326)
VIA REGIA SOCIET? AGRICOLA,Winery,POINT (744074.472 5048652.946)
Villa Priuli - Azienda Agricola Di Claudio Boscain,Winery,POINT (738883.858 5055443.395)
